,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,1331.0,1090.0,352.0,175.0,31.0,2979.0
,Vol,78.56,516.36,583.79,680.45,196.72,2055.88
Species Group 2,Num,1863.0,1603.0,541.0,371.0,52.0,4430.0
,Vol,109.44,768.05,860.98,1437.73,326.27,3502.47
Species Group 3,Num,1841.0,1605.0,545.0,345.0,52.0,4388.0
,Vol,108.19,759.56,872.75,1334.99,337.87,3413.3599999999997
Species Group 4,Num,2614.0,2400.0,802.0,451.0,277.0,6544.0
,Vol,153.54,1140.38,1290.51,1738.21,3031.93,7354.57
Species Group 5,Num,2623.0,2406.0,817.0,353.0,38.0,6237.0
,Vol,156.69,425.29,873.8,866.26,150.64,2472.68
Species Group 6,Num,3402.0,3182.0,1091.0,626.0,364.0,8665.0
,Vol,205.04,560.55,1179.62,1562.76,2373.94,5881.91
Species Group 7,Num,3871.0,3747.0,1244.0,777.0,355.0,9994.0
,Vol,233.25,658.66,1344.6,1929.98,2340.74,6507.23
