,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,1210.0,976.0,322.0,46.0,,2554.0
,Vol,71.31,464.15,522.05,142.7,,1200.21
Species Group 2,Num,1689.0,1443.0,498.0,117.0,,3747.0
,Vol,98.72,686.17,796.62,360.57,,1942.08
Species Group 3,Num,1671.0,1450.0,483.0,113.0,,3717.0
,Vol,98.03,690.52,771.27,359.49,,1919.31
Species Group 4,Num,2413.0,2195.0,745.0,426.0,251.0,6030.0
,Vol,141.19,1041.62,1210.43,1641.98,2724.3,6759.52
Species Group 5,Num,2377.0,2168.0,734.0,107.0,,5386.0
,Vol,141.72,382.52,789.73,214.79,,1528.76
Species Group 6,Num,3168.0,2922.0,999.0,560.0,326.0,7975.0
,Vol,190.21,515.91,1077.11,1388.97,2140.24,5312.44
Species Group 7,Num,3565.0,3397.0,1148.0,724.0,329.0,9163.0
,Vol,214.43,597.14,1238.33,1805.9,2148.69,6004.49
