,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,69.0,46.0,17.0,7.0,,139.0
,Vol,3.87,22.47,28.47,29.54,,84.35
Species Group 2,Num,57.0,75.0,25.0,13.0,3.0,173.0
,Vol,3.23,37.59,40.61,47.24,26.76,155.43
Species Group 3,Num,61.0,65.0,24.0,16.0,5.0,171.0
,Vol,3.65,31.29,38.5,62.76,54.53,190.73
Species Group 4,Num,127.0,90.0,37.0,26.0,3.0,283.0
,Vol,7.26,44.04,59.92,101.59,33.0,245.81
Species Group 5,Num,93.0,95.0,30.0,15.0,13.0,246.0
,Vol,5.33,16.86,31.72,37.06,90.28,181.25
Species Group 6,Num,152.0,158.0,53.0,23.0,13.0,399.0
,Vol,9.21,28.18,58.98,56.6,88.87,241.84
Species Group 7,Num,145.0,171.0,50.0,36.0,14.0,416.0
,Vol,8.76,30.2,54.16,88.67,103.19,284.98
