CUT TREE,VICTIM,Category Damage
T0101018027,T0101014055,2
T0101018027,T0101039026,1
T0101018027,T0101086000,1
T0101018027,T0101014059,2
T0101018027,T0101015058,2
T0101018027,T0101014054,2
T0101018027,T0101020058,2
T0101018027,T0101013058,2
T0101018027,T0201137000,1
T0101018027,T0201110000,1
T0101018027,T0201168000,1
T0101018027,T0201192000,1
T0101018027,T0201156000,1
T0101018027,T0201105000,1
T0101018027,T0201105000,1
T0101018027,T0201168000,1
T0101018027,T0201176000,1
T0101018027,T0201162000,1
T0101018027,T0301254000,1
T0101018027,T0301287000,1
T0101018027,T0301267000,1
T0101018027,T0301239000,1
T0101018027,T0301201000,1
T0101018027,T0301231000,1
T0101018027,T0301227000,1
T0101018027,T0401307000,1
T0101018027,T0401388000,1
T0101018027,T0401370000,1
T0101018027,T0501497000,1
T0101018027,T0501421000,1
T0101018027,T0501428000,1
T0101018027,T0501428000,1
T0101018027,T0601570000,1
T0101018027,T0601562000,1
T0101018027,T0601591000,1
T0101018027,T0601588000,1
T0101018027,T0601529000,1
T0101018027,T0701651000,1
T0101018027,T0701625000,1
T0101018027,T0801763000,1
T0101018027,T0801710000,1
T0101018027,T0801745000,1
T0101018027,T0801722000,1
T0101018027,T0801714000,1
T0101018027,T0801758000,1
T0101018027,T0901877000,1
T0101018027,T0901807000,1
T0101018027,T0901823000,1
T0101018027,T0901837000,1
T0101018027,T0901810000,1
T0101018027,T0901867000,1
T0101018027,T0901824000,1
T0101018027,T0901805000,1
T0101018027,T0901822000,1
T0101018027,T1001902000,1
T0101018027,T1001997000,1
T0101018027,T1001911000,1
T0101018027,T1001938000,1
T0101018027,T1001969000,1
T0101018027,T1001969000,1
T0101018027,T1001958000,1
T0101018027,T1001941000,1
T0101018027,T1001993000,1
T0101044007,T0101034004,1
T0101006084,T0101022066,1
T0101006084,T0101019069,1
T0101063005,T0101082024,2
T0101063005,T0101071014,1
T0101063005,T0101089022,2
T0101063005,T0101074018,1
T0101063005,T0101087024,2
T0101063005,T0101087022,2
T0101066008,T0101035017,2
T0101066008,T0101034023,2
T0101066008,T0101029020,2
T0101046008,T0101015014,2
T0101046008,T0101047002,1
T0101046008,T0101013016,2
T0101046008,T0101012015,2
T0101046008,T0101008012,2
T0101018076,T0101012040,2
T0101026064,T0101047036,2
T0101026064,T0101045038,2
T0101026064,T0101048037,2
T0101026064,T0101006078,1
T0101055084,T0101077088,1
T0101055084,T0101088090,1
T0101055084,T0101092091,1
T0101055084,T0101085090,1
T0101055084,T0102066116,2
T0101055084,T0102065122,2
T0101055084,T0102060123,2
T0101055084,T0102065122,2
T0101042018,T0101048053,2
T0101042018,T0101065020,1
T0101042018,T0101058019,1
T0101042018,T0101045051,2
T0101042018,T0101043052,2
T0101042018,T0101048053,2
T0101042018,T0101042048,2
T0101027092,T0101052072,2
T0101027092,T0101051075,2
T0101027092,T0101056079,2
T0101032077,T0102043110,2
T0101032077,T0102044108,2
T0102003127,T0102028145,2
T0102003127,T0102021149,1
T0102003127,T0102030146,2
T0102003127,T0102024143,2
T0102003127,T0102026148,2
T0102003127,T0102024147,2
T0102003127,T0102026146,2
T0102003127,T0102008133,1
T0102003127,T0102031161,1
T0102035148,T0102036184,2
T0102035148,T0102039182,2
T0102035148,T0102037179,2
T0102035148,T0102038186,2
T0102035148,T0102034180,2
T0102046132,T0102069107,1
T0102046132,T0102020154,2
T0102046132,T0102072104,1
T0102046132,T0102020149,2
T0102052106,T0102088118,2
T0102052106,T0102059130,1
T0102052106,T0102083114,2
T0102052106,T0102089115,2
T0102061124,T0101057095,2
T0102061124,T0101060095,2
T0102061124,T0101061092,2
T0102061124,T0101059097,2
T0102061124,T0101056096,2
T0102061124,T0102036121,1
T0102019178,T0102020167,1
T0102053114,T0102037145,2
T0102053114,T0102038144,2
T0102053114,T0102043142,2
T0102053114,T0102037142,2
T0102014185,T0102021186,1
T0102014185,T0103016220,2
T0102014185,T0103021212,2
T0102014185,T0103019218,2
T0102014185,T0103017219,2
T0102094111,T0101097078,2
T0102094111,T0101094083,2
T0102070192,T0102086164,2
T0102070192,T0102085165,2
T0102006119,T0102037132,2
T0102006119,T0102039133,2
T0102006119,T0102039135,2
T0102006119,T0102040133,2
T0102006119,T0102035132,2
T0102006119,T0102037131,2
T0102040152,T0102063129,2
T0102040152,T0102068128,2
T0102040152,T0102064130,2
T0102029190,T0102057176,2
T0102029190,T0102056171,2
T0102029190,T0102057176,2
T0102029190,T0102055175,2
T0102029190,T0102059175,2
T0102029190,T0102059178,2
T0102029190,T0103020206,1
T0103088247,T0103059252,2
T0103088247,T0103090221,1
T0103088247,T0103059248,2
T0103088247,T0103056247,2
T0103065257,T0103072285,2
T0103065257,T0103089267,1
T0103033217,T0103047247,2
T0103033217,T0103040220,1
T0103010266,T0103044261,2
T0103010266,T0103045259,2
T0103010266,T0103042254,2
T0103010266,T0103040262,2
T0103010266,T0103042261,2
T0103010266,T0103043255,2
T0103017294,T0103051289,2
T0103017294,T0103047293,2
T0103017294,T0103052291,2
T0103017294,T0103055291,2
T0103083220,T0202107198,2
T0103083220,T0202105193,2
T0103098278,T0203136286,2
T0103098278,T0203132284,2
T0103098278,T0203129281,2
T0103098278,T0203135285,2
T0103014213,T0102016196,1
T0103097296,T0104069324,1
T0103097296,T0104068324,1
T0103097296,T0104087306,1
T0103097296,T0203122268,2
T0103097296,T0203121269,2
T0103097296,T0203122271,2
T0103083269,T0103073294,1
T0103083269,T0103072299,1
T0103083269,T0203112259,2
T0103083269,T0203117254,2
T0103040278,T0103064264,1
T0103040278,T0103068261,1
T0103040278,T0104027303,2
T0103040278,T0104024302,2
T0103040278,T0104023309,2
T0103040278,T0104025300,2
T0103040278,T0104023305,2
T0103077293,T0104091301,1
T0103077293,T0104098321,2
T0103077293,T0204101307,1
T0103077293,T0204107310,1
T0103028237,T0103003219,2
T0103028237,T0103003211,2
T0103028237,T0103005208,1
T0103028237,T0103005214,2
T0103028237,T0103003206,1
T0103021266,T0103057272,2
T0103021266,T0103030295,1
T0103021266,T0103029291,1
T0103021266,T0103058274,2
T0103021266,T0103054273,2
T0103021266,T0103050275,2
T0103021266,T0103052274,2
T0103021266,T0103050278,2
T0103021266,T0103029293,1
T0103021266,T0103058275,2
T0103021266,T0103029293,1
T0103021266,T0103056277,2
