,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,64.0,69.0,15.0,9.0,2.0,159.0
,Vol,3.84,32.07,25.79,31.59,19.17,112.46
Species Group 2,Num,121.0,87.0,27.0,7.0,11.0,253.0
,Vol,7.32,43.16,41.81,25.240000000000002,106.64,224.17000000000002
Species Group 3,Num,106.0,97.0,36.0,23.0,13.0,275.0
,Vol,6.13,48.66,57.54,83.14,148.64,344.11
Species Group 4,Num,150.0,120.0,39.0,19.0,16.0,344.0
,Vol,8.97,57.660000000000004,61.41,78.62,177.2,383.86
Species Group 5,Num,178.0,147.0,62.0,21.0,13.0,421.0
,Vol,10.620000000000001,25.84,61.42,51.04,82.74,231.65999999999997
Species Group 6,Num,173.0,190.0,52.0,36.0,17.0,468.0
,Vol,10.99,32.85,55.01,91.64,107.4,297.89
Species Group 7,Num,195.0,213.0,80.0,52.0,22.0,562.0
,Vol,11.74,37.25,84.1,125.75,144.97,403.81000000000006
