VICTIM,Cut Tree,Category Damage
T0101018027,T0101001049,2
T0101018027,T0101001053,2
T0101044007,T0101007007,2
T0101044007,T0101008009,2
T0101044007,T0101008012,2
T0101044007,T0101011008,2
T0101044007,T0101013008,2
T0101006084,T0101018053,2
T0101006084,T0101019049,2
T0101032077,T0101020081,1
T0101026064,T0101020097,2
T0102052106,T0101022070,1
T0102052106,T0101022084,2
T0102052106,T0101022085,2
T0101006084,T0101024054,2
T0102052106,T0101025081,2
T0102052106,T0101026087,2
T0102052106,T0101026088,2
T0102052106,T0101028084,2
T0102052106,T0101028086,2
T0101018076,T0101030069,1
T0102052106,T0101030079,1
T0101018027,T0101033014,1
T0102046132,T0101036098,2
T0101032077,T0101040044,2
T0101032077,T0101042048,2
T0101032077,T0101043043,2
T0101032077,T0101046042,2
T0101032077,T0101046047,2
T0101018027,T0101047002,1
T0101032077,T0101047041,2
T0101018076,T0101047059,1
T0101042018,T0101053029,1
T0101027092,T0101053081,1
T0101042018,T0101058034,1
T0101042018,T0101060037,1
T0101042018,T0101066040,2
T0101042018,T0101069043,2
T0101055084,T0101072070,1
T0101055084,T0101076067,1
T0101046008,T0101078005,2
T0101042018,T0101078055,1
T0101055084,T0101078065,1
T0101046008,T0101084001,2
T0101046008,T0101084002,2
T0101046008,T0101085007,2
T0101055084,T0101085059,1
T0101018027,T0101086000,1
T0101055084,T0101086058,1
T0201127039,T0101088035,2
T0201127039,T0101094036,2
T0102035148,T0102000152,2
T0102035148,T0102000153,2
T0102035148,T0102002157,2
T0102035148,T0102003156,2
T0101018076,T0102004103,2
T0101018076,T0102006106,2
T0102003127,T0102006154,2
T0103014213,T0102009182,2
T0103014213,T0102010178,2
T0101027092,T0102013120,2
T0102003127,T0102013158,2
T0101027092,T0102015122,2
T0101027092,T0102017118,2
T0101027092,T0102017124,2
T0101027092,T0102017125,2
T0101027092,T0102018121,2
T0101027092,T0102019120,2
T0102040152,T0102027185,2
T0102040152,T0102029188,2
T0101055084,T0102030113,2
T0101055084,T0102031108,2
T0102040152,T0102031189,2
T0101055084,T0102033107,2
T0101055084,T0102033110,2
T0101055084,T0102033110,2
T0101055084,T0102033111,2
T0101055084,T0102034107,2
T0103033217,T0102034180,2
T0101055084,T0102036109,2
T0102040152,T0102036184,2
T0102035148,T0102037139,1
T0102014185,T0102038169,2
T0102046132,T0102041104,2
T0102014185,T0102042173,2
T0102014185,T0102044170,2
T0102019178,T0102048162,2
T0102019178,T0102048167,2
T0102019178,T0102049166,2
T0102029190,T0102057185,1
T0102053114,T0102059143,2
T0102053114,T0102062144,2
T0102053114,T0102063146,2
T0102053114,T0102064147,2
T0102061124,T0102068158,1
T0102040152,T0102075142,1
T0102053114,T0102078121,1
T0102040152,T0102078142,1
T0202106166,T0102089198,2
T0102061124,T0102093128,2
T0102061124,T0102094126,2
T0202123150,T0102094137,2
T0202123150,T0102095135,2
T0202123150,T0102097135,2
T0103017294,T0103001263,2
T0103017294,T0103003264,2
T0102014185,T0103004202,1
T0103021266,T0103004284,1
T0103017294,T0103006265,2
T0103017294,T0103006266,2
T0102019178,T0103007200,1
T0103040278,T0103007279,1
T0103040278,T0103007279,1
T0103021266,T0103010277,1
T0102029190,T0103020223,2
T0102029190,T0103020225,2
T0102029190,T0103022223,2
T0102029190,T0103024222,2
T0102029190,T0103024227,2
T0103028237,T0103031255,1
T0103040278,T0103042243,2
T0103021266,T0103043240,2
T0103021266,T0103044238,2
T0103021266,T0103048239,2
T0103021266,T0103051242,2
T0103083269,T0103059239,2
T0103083269,T0103059252,1
T0103083269,T0103060238,2
T0103083269,T0103066240,2
T0103083269,T0103067239,2
T0103083220,T0103078248,2
T0203115216,T0103079216,2
T0103083220,T0103079249,2
T0203115216,T0103080216,2
T0203115216,T0103080216,2
T0203115216,T0103083218,2
T0203115216,T0103085215,2
T0203115216,T0103086218,2
T0103088247,T0103087276,2
T0103088247,T0103087279,2
T0103088247,T0103088276,2
T0104024358,T0104004326,2
T0104024358,T0104006327,2
T0104024358,T0104006346,1
T0104024358,T0104007327,2
T0104024358,T0104008329,2
T0104004351,T0104009347,1
T0104035350,T0104014388,1
T0104019363,T0104015384,1
T0104019363,T0104015384,1
T0104004351,T0104017341,1
T0104035350,T0104020378,1
T0104004351,T0104024335,1
T0104060356,T0104026342,2
T0104035350,T0104026366,1
T0104060356,T0104027344,2
T0104004351,T0104028332,1
T0104004351,T0104029331,1
T0104060356,T0104029337,2
T0104060356,T0104031338,2
T0104004351,T0104036326,1
T0104004351,T0104038324,1
T0105033422,T0104041391,2
T0105033422,T0104042387,2
T0104079345,T0104047339,2
T0104019363,T0104047359,2
T0104079345,T0104048340,2
T0104019363,T0104048357,2
T0104079345,T0104049337,2
T0104079345,T0104049338,2
T0104019363,T0104049353,2
T0104079345,T0104050337,2
T0104019363,T0104051355,2
T0104019363,T0104052360,2
T0104037393,T0104056374,2
T0104091315,T0104058326,2
T0104091315,T0104058326,2
T0104037393,T0104058373,2
T0104037393,T0104059368,2
T0105091410,T0104059392,2
T0104037393,T0104060369,2
T0105091410,T0104061394,2
T0104091315,T0104062325,2
T0105091410,T0104062391,2
T0105091410,T0104062391,2
T0104037393,T0104063369,2
T0104081353,T0104064384,2
T0105091410,T0104064396,2
T0104035350,T0104065333,2
T0104035350,T0104065336,2
T0104081353,T0104067385,2
T0104035350,T0104068337,2
T0104079345,T0104070315,1
T0104081353,T0104071382,2
T0104052301,T0104077312,2
T0204109346,T0104077355,1
T0104075335,T0104077370,2
T0104075335,T0104077372,2
T0105091410,T0104077382,1
T0204109346,T0104078354,1
T0105091410,T0104078385,1
T0104052301,T0104080311,2
T0104052301,T0104080315,2
T0104052301,T0104081316,2
T0104075335,T0104081366,2
T0104075335,T0104082366,2
T0104052301,T0104083312,2
T0104081353,T0104083352,1
T0104052301,T0104084312,2
T0104078369,T0104086338,2
T0204109346,T0104088352,1
T0205119416,T0104089384,1
T0205119416,T0104089384,1
T0104078369,T0104092337,2
T0205119416,T0104092390,2
T0205119416,T0104092396,2
T0104078369,T0104093337,2
T0205119416,T0104093389,1
T0104091315,T0104095300,1
T0204129323,T0104095305,2
T0205119416,T0104095389,2
T0103077293,T0104097318,2
T0104075335,T0104097337,1
T0103077293,T0104098321,2
T0105028443,T0105001465,2
T0105028443,T0105002464,2
T0105028443,T0105002465,2
T0105028443,T0105002466,2
T0105028443,T0105003458,2
T0105028443,T0105003458,2
T0105028443,T0105004460,2
T0105028443,T0105006459,2
T0105028443,T0105007465,2
T0105014449,T0105009482,2
T0105021468,T0105011472,1
T0105014449,T0105013482,2
T0105014449,T0105014483,2
T0105014449,T0105014483,2
T0105033422,T0105016428,1
T0104037393,T0105018414,1
T0105033422,T0105019427,1
T0105055460,T0105021468,2
T0105021485,T0105023451,2
T0105021485,T0105024452,2
T0105021468,T0105028437,2
T0104044382,T0105030411,2
T0105021485,T0105030457,2
T0104044382,T0105033406,2
