,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,66.0,47.0,18.0,7.0,2.0,140.0
,Vol,3.77,22.33,28.88,24.59,12.23,91.8
Species Group 2,Num,96.0,69.0,21.0,15.0,11.0,212.0
,Vol,5.8,31.68,31.18,54.82,129.93,253.41
Species Group 3,Num,85.0,85.0,22.0,10.0,11.0,213.0
,Vol,5.0200000000000005,41.28,32.23,35.16,109.46,223.14999999999998
Species Group 4,Num,140.0,126.0,37.0,22.0,9.0,334.0
,Vol,8.51,56.11,60.04,85.72,96.79,307.17
Species Group 5,Num,126.0,137.0,46.0,17.0,10.0,336.0
,Vol,7.3,23.87,49.56,41.43,55.019999999999996,177.18
Species Group 6,Num,169.0,150.0,47.0,34.0,17.0,417.0
,Vol,10.040000000000001,25.490000000000002,52.79,83.38,94.35,266.04999999999995
Species Group 7,Num,221.0,182.0,61.0,53.0,14.0,531.0
,Vol,13.360000000000001,30.720000000000002,66.57,139.10999999999999,103.08,352.84
