CUT TREE,VICTIM,Category Damage
T0101075032,T0101053009,2
T0101075032,T0101086000,1
T0101075032,T0101065020,1
T0101075032,T0101052012,2
T0101075032,T0101053017,2
T0101075032,T0101055011,2
T0101075032,T0201137000,1
T0101075032,T0201110000,1
T0101075032,T0201168000,1
T0101075032,T0201192000,1
T0101075032,T0201156000,1
T0101075032,T0201105000,1
T0101075032,T0201105000,1
T0101075032,T0201168000,1
T0101075032,T0201176000,1
T0101075032,T0201162000,1
T0101075032,T0301254000,1
T0101075032,T0301287000,1
T0101075032,T0301267000,1
T0101075032,T0301239000,1
T0101075032,T0301201000,1
T0101075032,T0301231000,1
T0101075032,T0301227000,1
T0101075032,T0401307000,1
T0101075032,T0401388000,1
T0101075032,T0401370000,1
T0101075032,T0501497000,1
T0101075032,T0501421000,1
T0101075032,T0501428000,1
T0101075032,T0501428000,1
T0101075032,T0601570000,1
T0101075032,T0601562000,1
T0101075032,T0601591000,1
T0101075032,T0601588000,1
T0101075032,T0601529000,1
T0101075032,T0701651000,1
T0101075032,T0701625000,1
T0101075032,T0801763000,1
T0101075032,T0801710000,1
T0101075032,T0801745000,1
T0101075032,T0801722000,1
T0101075032,T0801714000,1
T0101075032,T0801758000,1
T0101075032,T0901877000,1
T0101075032,T0901807000,1
T0101075032,T0901823000,1
T0101075032,T0901837000,1
T0101075032,T0901810000,1
T0101075032,T0901867000,1
T0101075032,T0901824000,1
T0101075032,T0901805000,1
T0101075032,T0901822000,1
T0101075032,T1001902000,1
T0101075032,T1001997000,1
T0101075032,T1001911000,1
T0101075032,T1001938000,1
T0101075032,T1001969000,1
T0101075032,T1001969000,1
T0101075032,T1001958000,1
T0101075032,T1001941000,1
T0101075032,T1001993000,1
T0101006093,T0101008092,1
T0101006093,T0101022085,1
T0101006093,T0101036079,1
T0101018027,T0101044007,2
T0101018027,T0101046007,2
T0101018027,T0101043012,2
T0101018027,T0101046008,2
T0101006084,T0101004047,2
T0101006084,T0101001049,2
T0101006084,T0101005051,2
T0101006084,T0101001053,2
T0101001097,T0101011071,2
T0101001097,T0101017068,2
T0101001097,T0101014067,2
T0101063005,T0101054032,2
T0101063005,T0101051035,2
T0101063005,T0101054033,2
T0101063005,T0101048037,2
T0101063005,T0101052037,2
T0101066008,T0101033014,2
T0101073009,T0101054026,2
T0101073009,T0101056028,2
T0101073009,T0101059031,2
T0101073009,T0101059031,2
T0101073009,T0101053029,2
T0101073009,T0101056026,2
T0101018076,T0101048090,2
T0101018076,T0101052090,2
T0101018076,T0101049087,2
T0101018076,T0101047089,2
T0101018076,T0102030113,1
T0101026064,T0101011098,2
T0101026064,T0101054050,1
T0101026064,T0101038058,1
T0101026064,T0101048053,1
T0101026064,T0101007093,2
T0101026064,T0101013097,2
T0101026064,T0101028063,1
T0101026064,T0101048053,1
T0101026064,T0101055049,1
T0101055084,T0102086104,2
T0101055084,T0102084105,2
T0101055084,T0102089102,2
T0101057055,T0101035084,1
T0101057055,T0101077038,2
T0101057055,T0101083040,2
T0101057055,T0101083035,2
T0101070028,T0101076055,2
T0101070028,T0101070054,2
T0101070028,T0101070051,2
T0101070028,T0101071055,2
T0101042018,T0101074035,2
T0101002069,T0101019045,2
T0101002069,T0101021039,2
T0101002069,T0101018043,2
T0101002069,T0101018042,2
T0101002069,T0101020037,2
T0101032077,T0101049095,1
T0101032077,T0101044090,1
T0101032077,T0101059097,2
T0101032077,T0101046092,1
T0101032077,T0101062099,2
T0101032077,T0102055105,2
T0102003127,T0101015098,2
T0102035148,T0102018168,1
T0102035148,T0102061124,2
T0102035148,T0102059130,2
T0102035148,T0102064123,2
T0102035148,T0102063129,2
T0102035148,T0102059124,2
T0102035148,T0102064130,2
T0102035148,T0102060126,2
T0102035148,T0102060123,2
T0102035148,T0102010178,1
T0102035148,T0102060126,2
T0102046132,T0102069107,2
T0102046132,T0102028152,1
T0102046132,T0102032148,1
T0102046132,T0102030151,1
T0102046132,T0102037142,1
T0102046132,T0102028153,1
T0102052106,T0101052072,2
T0102052106,T0101051075,2
T0102052106,T0101050071,2
T0102052106,T0101048073,2
T0102052106,T0102030103,1
T0102019178,T0102009149,2
T0102019178,T0102008147,2
T0102019178,T0102007144,2
T0102019178,T0102011150,2
T0102092167,T0102066181,2
T0102092167,T0202108139,1
T0102092167,T0202101151,1
T0102053114,T0102070145,2
T0102053114,T0102070139,2
T0102014185,T0102000153,1
T0102014185,T0102002157,1
T0102094111,T0102098140,2
T0102094111,T0102099138,2
T0102094111,T0202101113,1
T0102094111,T0202119118,1
T0102094111,T0202114116,1
T0102094111,T0202106138,2
T0102070192,T0102049166,2
T0102070192,T0102048162,2
T0102070192,T0102046177,1
T0102070192,T0102056164,2
T0102040152,T0102030174,1
T0102040152,T0102067135,2
T0102040152,T0102071136,2
T0102040152,T0102025183,1
T0102040152,T0102029175,1
T0102040152,T0102072135,2
T0102040152,T0102070133,2
T0102040152,T0102072139,2
T0102000122,T0102033110,1
T0102000122,T0102033110,1
T0102000122,T0102022114,1
T0102000122,T0102036109,1
T0102029190,T0103044223,2
T0102029190,T0103041223,2
T0102029190,T0103040220,2
T0102029190,T0103040222,2
T0102029190,T0103063207,1
T0102029190,T0103043217,2
T0103069291,T0104063315,2
T0103069291,T0104058317,2
T0103069291,T0104066319,2
T0103088247,T0203120248,2
T0103088247,T0203123245,2
T0103088247,T0203120244,2
T0103065257,T0103096251,2
T0103065257,T0103096251,2
T0103065257,T0103094253,2
T0103065257,T0103091252,2
T0103065257,T0103097248,2
T0103065257,T0103097249,2
T0103065257,T0103095252,2
T0103014287,T0103003264,2
T0103014287,T0103005257,2
T0103014287,T0103006260,2
T0103014287,T0103001263,2
T0103014287,T0103000257,2
T0103059252,T0103050275,2
T0103059252,T0103052274,2
T0103059252,T0103050278,2
T0103059252,T0103051282,2
T0103059252,T0103048278,2
T0103059252,T0103049282,2
T0103059252,T0103052281,2
T0103033217,T0102060191,2
T0103033217,T0102060197,2
T0103033217,T0102056192,2
T0103033217,T0102060197,2
T0103033217,T0102058191,2
T0103033217,T0103008244,1
T0103010266,T0103044261,2
T0103010266,T0103045259,2
T0103010266,T0103044262,2
T0103010266,T0103040262,2
T0103010266,T0103042261,2
T0103017294,T0104052320,1
T0103017294,T0104036326,2
T0103017294,T0104038324,2
T0103017294,T0104052320,1
T0103017294,T0104053320,1
T0103017294,T0104025300,1
T0103017294,T0104033321,2
T0103017294,T0104031304,1
T0103083220,T0103099225,1
T0103083220,T0203109228,1
T0103037299,T0103071267,1
T0103037299,T0104012320,2
T0103037299,T0104012322,2
T0103037299,T0104014320,2
T0103098278,T0103064264,2
T0103098278,T0103083246,1
T0103098278,T0103081243,1
T0103098278,T0103068261,2
T0103098278,T0103094270,1
T0103014213,T0102000188,1
T0103097296,T0203111266,2
T0103097296,T0203110266,2
T0103097296,T0203113266,2
T0103097296,T0203108264,2
T0103083269,T0103066240,2
T0103083269,T0103060238,2
T0103083269,T0103059239,2
T0103083255,T0203105241,2
T0103083255,T0203106242,2
T0103083255,T0203108244,2
T0103040278,T0103029250,2
T0103040278,T0103029252,2
T0103040278,T0103033247,2
T0103040278,T0103028245,2
T0103040278,T0103006266,1
T0103040278,T0103033247,2
T0103040278,T0103032248,2
T0103040278,T0103033251,2
T0103040278,T0103016269,1
T0103040278,T0103033247,2
T0103040278,T0103030253,2
T0103040278,T0103025249,2
T0103040278,T0103006265,1
T0103040278,T0103033251,2
T0103040278,T0103028252,2
T0103077293,T0103079262,2
T0103077293,T0103077259,2
T0103077293,T0103041295,1
T0103028237,T0103057272,1
T0103028237,T0103058274,1
T0103028237,T0103042254,1
T0103028237,T0103052267,1
T0103028237,T0103053255,2
T0103028237,T0103058275,1
T0103028237,T0103043255,1
T0104041329,T0103046298,1
T0104041329,T0103046298,1
T0104041329,T0104013337,2
T0104041329,T0104009333,2
T0104041329,T0104017331,2
T0104041329,T0104015337,2
T0104041329,T0104044311,1
T0104041329,T0104009335,2
T0104041329,T0104011331,2
T0104078369,T0104083352,1
T0104078369,T0104047381,2
T0104078369,T0104050375,2
T0104078369,T0104049381,2
T0104078369,T0104047373,2
T0104078369,T0104081358,1
T0104078369,T0104044378,2
T0104035350,T0104008354,1
T0104035350,T0104005355,1
T0104035350,T0104039315,2
T0104024358,T0104027344,1
T0104037393,T0104069395,2
T0104037393,T0104067393,2
T0104037393,T0105036427,1
T0104075335,T0104069324,1
T0104075335,T0104047323,2
T0104075335,T0104047321,2
T0104075335,T0104060308,1
T0104044382,T0104011381,1
T0104044382,T0104043348,2
T0104041339,T0104032367,2
T0104041339,T0104031366,2
T0104041339,T0104026366,2
T0104041339,T0104032367,2
T0104041339,T0104034368,2
T0104041339,T0104033361,2
T0104081353,T0104049365,2
T0104081353,T0104098321,1
T0104081353,T0104050367,2
T0104081353,T0104052372,2
T0104079345,T0104070315,2
T0104079345,T0104067312,2
T0104079345,T0104060340,1
T0104079345,T0104071310,2
T0104079345,T0104049337,1
T0104079345,T0104049338,1
T0104079345,T0104058340,1
T0104060356,T0104096342,1
T0104060356,T0104050385,2
T0104060356,T0104052389,2
T0104019363,T0104049353,2
T0104019363,T0104051355,2
T0104019363,T0104007392,1
T0104004351,T0104011318,2
T0104004351,T0104013315,2
T0104004351,T0104012315,2
T0104004351,T0104009321,2
T0104004351,T0104015315,2
T0104004351,T0104010317,2
T0104091315,T0103088297,1
T0104091315,T0103088296,1
T0104091315,T0104090308,1
T0104091315,T0104057310,2
T0104052301,T0103051289,1
T0104052301,T0103021294,2
T0104052301,T0103020295,2
T0104052301,T0103018298,2
T0104052301,T0103020299,2
T0104052301,T0103019298,2
T0105019422,T0105043431,2
T0105019422,T0105025437,1
T0105019422,T0105047435,2
T0105019422,T0105023432,1
T0105019422,T0105043433,2
T0105002496,T0105012459,2
T0105002496,T0105009463,2
T0105002496,T0105012462,2
T0105002496,T0105014462,2
T0105002496,T0105007465,2
T0105002496,T0105013463,2
T0105017498,T0105029463,2
T0105017498,T0105031464,2
T0105017498,T0106002502,1
T0105017498,T0106003502,1
T0105064470,T0105093455,2
T0105064470,T0105094457,2
T0105064470,T0105096459,2
T0105064470,T0105091458,2
T0105021468,T0105052453,2
T0105021468,T0105010487,1
T0105021468,T0105054450,2
T0105033422,T0104024386,2
T0105033422,T0104024388,2
T0105033422,T0104029388,2
T0105033422,T0104028394,2
T0105033422,T0104028389,2
T0105021485,T0105036484,1
T0105021485,T0105052483,1
T0105021485,T0105052483,1
T0105021485,T0106017519,2
T0105021485,T0106024515,2
T0105021485,T0106016514,2
T0105021485,T0106016518,2
T0105021485,T0106019519,2
T0105049405,T0105070421,2
T0105049405,T0105074416,2
T0105049405,T0105072423,2
T0105049405,T0105075416,2
T0105049405,T0105077418,2
T0105049405,T0105077422,2
T0105049405,T0105062426,1
T0105091410,T0105073435,2
T0105091410,T0105075441,2
T0105091410,T0105070440,2
T0105091410,T0105073444,2
T0105091410,T0204115396,1
T0105091410,T0204119393,1
T0105091410,T0204129388,1
T0105014449,T0105001474,2
T0105014449,T0105040431,1
T0105055460,T0105036438,2
T0105055460,T0105028437,1
T0105055460,T0105039446,1
T0105055460,T0105040447,1
T0105069464,T0205107466,2
T0105069464,T0205106463,2
T0105044413,T0104064396,1
T0105044413,T0105020436,2
T0105044413,T0105023436,2
T0105094400,T0104097365,2
T0105094400,T0104099365,2
T0105094400,T0104098367,2
T0105094400,T0104099364,2
T0105094400,T0204100370,2
T0105094400,T0204105365,2
T0105094400,T0204100361,2
