,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,140.0,1419.0,928.0,619.0,394.0,3500.0
,Vol,0.0,529.12,1254.84,1440.03,2725.06,5949.049999999999
Species Group 2,Num,212.0,1992.0,1365.0,952.0,779.0,5300.0
,Vol,0.0,737.09,1853.65,2177.87,5354.65,10123.26
Species Group 3,Num,213.0,1990.0,1379.0,934.0,784.0,5300.0
,Vol,0.0,735.91,1867.86,2153.93,5517.36,10275.06
Species Group 4,Num,334.0,2825.0,2064.0,1400.0,777.0,7400.0
,Vol,0.0,1044.17,2801.23,3232.25,4924.7300000000005,12002.380000000001
Species Group 5,Num,336.0,2851.0,2036.0,1396.0,781.0,7400.0
,Vol,0.0,473.25,1410.48,1897.02,3623.07,7403.82
Species Group 6,Num,417.0,3689.0,2720.0,1917.0,1057.0,9800.0
,Vol,0.0,617.42,1869.53,2603.82,4348.2,9438.970000000001
Species Group 7,Num,531.0,4143.0,3228.0,2158.0,1240.0,11300.0
,Vol,0.0,692.58,2228.8,2944.85,4846.1,10712.33
