,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,79.0,83.0,24.0,5.0,2.0,193.0
,Vol,4.42,38.160000000000004,36.42,18.85,15.959999999999999,113.80999999999999
Species Group 2,Num,123.0,91.0,40.0,7.0,6.0,267.0
,Vol,7.12,43.78,67.67,29.12,54.09,201.78
Species Group 3,Num,131.0,100.0,51.0,11.0,15.0,308.0
,Vol,7.36,48.98,79.84,38.519999999999996,170.91,345.61
Species Group 4,Num,155.0,146.0,40.0,30.0,14.0,385.0
,Vol,8.64,68.61,64.75,110.15,157.31,409.46000000000004
Species Group 5,Num,157.0,160.0,64.0,15.0,13.0,409.0
,Vol,9.19,27.78,71.65,37.19,79.38,225.19
Species Group 6,Num,223.0,196.0,69.0,51.0,20.0,559.0
,Vol,13.18,34.08,74.89,125.09,131.48,378.72
Species Group 7,Num,226.0,242.0,83.0,43.0,26.0,620.0
,Vol,13.49,43.08,86.81,108.7,193.59,445.66999999999996
