,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,1277.0,1054.0,343.0,173.0,2.0,2849.0
,Vol,75.0,500.11,568.52,669.86,10.620000000000001,1824.1100000000001
Species Group 2,Num,1815.0,1541.0,525.0,345.0,4.0,4230.0
,Vol,106.22,736.94,834.43,1333.68,21.98,3033.2500000000005
Species Group 3,Num,1828.0,1569.0,530.0,351.0,2.0,4280.0
,Vol,107.4,743.63,848.17,1346.83,10.06,3056.0899999999997
Species Group 4,Num,2575.0,2391.0,789.0,441.0,264.0,6460.0
,Vol,150.83,1133.03,1278.65,1699.13,2893.56,7155.200000000001
Species Group 5,Num,2594.0,2356.0,813.0,350.0,2.0,6115.0
,Vol,154.75,416.65000000000003,873.59,858.38,7.2,2310.57
Species Group 6,Num,3383.0,3136.0,1050.0,620.0,363.0,8552.0
,Vol,203.75,553.46,1124.05,1541.89,2360.95,5784.1
Species Group 7,Num,3848.0,3657.0,1237.0,785.0,370.0,9897.0
,Vol,231.9,641.92,1335.38,1954.21,2414.14,6577.549999999999
