,,DClass1,DClass2,DClass3,DClass4,DClass5,Total
Species Group 1,Num,1167.0,926.0,307.0,2.0,,2402.0
,Vol,69.26,436.42,508.54,4.85,,1019.07
Species Group 2,Num,1616.0,1402.0,478.0,7.0,,3503.0
,Vol,95.89,667.93,757.12,18.6,,1539.54
Species Group 3,Num,1605.0,1424.0,453.0,7.0,,3489.0
,Vol,94.63,677.99,731.59,18.41,,1522.6200000000001
Species Group 4,Num,2322.0,2135.0,715.0,392.0,235.0,5799.0
,Vol,136.93,1007.77,1148.15,1507.8,2551.6,6352.25
Species Group 5,Num,2318.0,2073.0,691.0,12.0,,5094.0
,Vol,138.34,366.14,737.63,20.23,,1262.3400000000001
Species Group 6,Num,3000.0,2795.0,948.0,537.0,311.0,7591.0
,Vol,180.57,492.42,1019.56,1342.45,2064.68,5099.68
Species Group 7,Num,3405.0,3345.0,1087.0,712.0,305.0,8854.0
,Vol,204.58,585.97,1177.22,1775.1,1965.7,5708.57
